Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
527,Shaquille O'Neal\onealsh01,1995-96,23,ORL,NBA,6.9,2.7,3.5,54,52,36.0,11.0,19.1,10.9,19.1,0.0,0.0,4.6,9.5,3.4,7.7,11.0,2.9,0.6,2.1,2.9,3.6,26.6,.573,.573,.500,.574,.487,.570
528,Chris Webber\webbech01,2002-03,29,SAC,NBA,6.9,3.8,3.8,67,67,39.1,9.9,21.4,9.8,21.1,0.1,0.3,3.2,5.3,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0,.461,.465,.238,.463,.607,.485
529,Russell Westbrook\westbru01,2018-19,30,OKC,NBA,6.8,5.6,6.5,73,73,36.0,8.6,20.2,7.0,14.5,1.6,5.6,4.1,6.2,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,.428,.481,.290,.468,.656,.501
530,Scottie Pippen\pippesc01,1997-98,32,CHI,NBA,6.6,3.2,5.8,44,44,37.5,7.2,16.0,5.8,11.6,1.4,4.4,3.4,4.4,1.2,4.0,5.2,5.8,1.8,1.0,2.5,2.6,19.1,.447,.496,.318,.491,.777,.533
531,Hakeem Olajuwon\olajuha01,1998-99,36,HOU,NBA,6.5,2.2,2.9,50,50,35.7,7.5,14.5,7.4,14.2,0.1,0.3,3.9,5.4,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9,.514,.518,.308,.517,.717,.559
532,Jermaine O'Neal\onealje01,2001-02,23,IND,NBA,6.4,1.5,0.2,72,72,37.6,7.5,15.7,7.5,15.5,0.0,0.2,3.9,5.7,2.6,7.9,10.5,1.6,0.6,2.3,2.4,3.7,19.0,.479,.484,.071,.480,.688,.521
533,Mitch Richmond\richmmi01,1993-94,28,SAC,NBA,6.4,2.3,1.2,78,78,37.1,8.1,18.3,6.5,14.3,1.6,4.0,5.5,6.6,0.9,2.8,3.7,4.0,1.3,0.2,2.8,2.7,23.4,.445,.455,.407,.489,.834,.551
534,John Stockton\stockjo01,1998-99,36,UTA,NBA,6.4,2.1,3.9,50,50,28.2,4.0,8.2,3.7,7.2,0.3,1.0,2.7,3.4,0.6,2.3,2.9,7.5,1.6,0.3,2.2,2.1,11.1,.488,.511,.320,.507,.811,.571
535,Carmelo Anthony\anthoca01,2011-12,27,NYK,NBA,6.2,2.3,2.9,55,55,34.1,8.0,18.6,6.8,14.9,1.2,3.7,5.4,6.7,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6,.430,.454,.335,.463,.804,.525
536,Kobe Bryant\bryanko01,2011-12,33,LAL,NBA,6.2,2.4,2.3,58,58,38.5,9.9,23.0,8.4,18.1,1.5,4.9,6.6,7.8,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,.430,.464,.303,.462,.845,.527
537,Joel Embiid\embiijo01,2017-18,23,PHI,NBA,6.2,2.2,2.6,63,63,30.3,8.1,16.8,7.0,13.4,1.0,3.4,5.7,7.4,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,.483,.527,.308,.514,.769,.573
538,Shaquille O'Neal\onealsh01,2005-06,33,MIA,NBA,6.2,2.1,2.6,59,58,30.6,8.1,13.6,8.1,13.6,0.0,0.0,3.7,8.0,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20.0,.600,.600,,.600,.469,.586
539,Ralph Sampson\sampsra01,1984-85,24,HOU,NBA,6.2,2.1,0.8,82,82,37.6,9.2,18.3,9.2,18.2,0.0,0.1,3.7,5.5,2.8,7.6,10.4,2.7,1.0,2.0,4.0,3.7,22.1,.502,.504,.000,.502,.676,.533
540,DeMarcus Cousins\couside01,2014-15,24,SAC,NBA,6.0,3.4,4.7,59,59,34.1,8.4,18.1,8.4,17.9,0.0,0.1,7.2,9.2,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1,.467,.469,.250,.468,.782,.545
541,Tracy McGrady\mcgratr01,2007-08,28,HOU,NBA,5.8,2.7,2.4,66,62,37.0,8.3,19.8,7.0,15.3,1.3,4.5,3.7,5.4,0.6,4.5,5.1,5.9,1.0,0.5,2.4,1.4,21.6,.419,.457,.292,.452,.684,.487
542,Dennis Rodman\rodmade01,1994-95,33,SAS,NBA,5.8,2.3,3.8,49,26,32.0,2.8,4.9,2.8,4.9,0.0,0.0,1.5,2.3,5.6,11.2,16.8,2.0,0.6,0.5,2.0,3.2,7.1,.571,.576,.000,.571,.676,.604
543,DeMarcus Cousins\couside01,2015-16,25,SAC,NBA,5.7,2.6,2.6,65,65,34.6,9.2,20.5,8.2,17.3,1.1,3.2,7.3,10.2,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,.451,.473,.333,.477,.718,.538
544,Juwan Howard\howarju01,1995-96,22,WSB,NBA,5.6,1.8,0.2,81,81,40.7,9.0,18.5,9.0,18.4,0.0,0.2,3.9,5.3,2.3,5.8,8.1,4.4,0.8,0.5,3.7,3.3,22.1,.489,.490,.308,.490,.749,.530
545,Kevin Garnett\garneke01,1998-99,22,MIN,NBA,5.4,3.5,5.7,47,47,37.9,8.8,19.1,8.7,18.9,0.1,0.3,3.1,4.4,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8,.460,.463,.286,.462,.704,.493
546,Tim Hardaway\hardati01,1998-99,32,MIA,NBA,5.4,2.2,3.0,48,48,36.9,6.3,15.7,3.9,9.2,2.3,6.5,2.5,3.1,0.3,2.9,3.2,7.3,1.2,0.1,2.7,2.1,17.4,.400,.429,.360,.475,.812,.511
547,Kobe Bryant\bryanko01,1998-99,20,LAL,NBA,5.2,2.1,2.3,50,50,37.9,7.2,15.6,6.7,13.6,0.5,2.0,4.9,5.8,1.1,4.2,5.3,3.8,1.4,1.0,3.1,3.1,19.9,.465,.494,.267,.482,.839,.549
